MCS,class,num,smarts
CCN(CCCN1c2ccccc2Sc2c1cccc2)CC,758,5,[#6]-[#6]-[#7](-[#6]-[#6])-[#6]-[#6]-[#6]-[#7]-1-[#6]:2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#16]-[#6]:2:[#6]-1:[#6]:[#6]:[#6]:[#6]:2
C12C(OC(=O)c3ccccc3)C3(O)CC(OC(=O)C(O)C(NC(=O)c4ccccc4)c4ccccc4)C(C)=C(C(OC(C)=O)C(=O)C1(C)C(O)CC1OCC21OC=O)C3(C)C,1187,4,[#6]-1-2-[#6](-[#6]-3(-[#6]-[#6](-[#6](=[#6](-[#6]-3(-[#6])-[#6])-[#6](-[#6](-[#6]-1(-[#6](-[#6]-[#6]-1-[#8]-[#6]-[#6]-1-2-[#8]-[#6]=[#8])-[#8])-[#6])=[#8])-[#8]-[#6](=[#8])-[#6])-[#6])-[#8]-[#6](-[#6](-[#6](-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]-[#6](-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)=[#8])-[#8])=[#8])-[#8])-[#8]-[#6](-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)=[#8]
CC(=O)OC12COC1CCC1(C)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c)C(C)=C(C(O)C1=O)C2(C)C,1188,4,[#6]-[#6](-[#8]-[#6]-1-2-[#6]-[#8]-[#6]-1-[#6]-[#6]-[#6]-1(-[#6]-2-[#6](-[#6]-2(-[#6]-[#6](-[#6](=[#6](-[#6]-2(-[#6])-[#6])-[#6](-[#6]-1=[#8])-[#8])-[#6])-[#8]-[#6](-[#6](-[#6](-[#6])-[#7]-[#6](-[#8]-[#6](-[#6])(-[#6])-[#6])=[#8])-[#8])=[#8])-[#8])-[#8]-[#6](-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)=[#8])-[#6])=[#8]
OC(CNC(C)(C)C)COc1ccccc1,242,4,[#6]-[#6](-[#7]-[#6]-[#6](-[#6]-[#8]-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#8])(-[#6])-[#6]
CC(=O)OC1C(N(CC)CC)CC2C3CCC4CC(OC(C)=O)C(N(CC)CC)CC4(C)C3CCC12C,123,4,[#6]-[#6](-[#8]-[#6]-1-[#6](-[#7](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-2-[#6]-3-[#6]-[#6]-[#6]-4-[#6]-[#6](-[#6](-[#7](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-4(-[#6]-3-[#6]-[#6]-[#6]-1-2-[#6])-[#6])-[#8]-[#6](=[#8])-[#6])=[#8]
O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CC)cc1,1069,4,[#6]-[#6]-[#6]:1:[#6]:[#6]:[#6](-[#16](-[#7]-[#6](-[#7]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2)=[#8])(=[#8])=[#8]):[#6]:[#6]:1
CC1C(O)C(N)CC(OC2CC(C(=O)C)(O)Cc3c2c(O)c2c(c3O)C(=O)c3cccc(OC)c3C2=O)O1,1232,4,[#6]-[#6]-1-[#6](-[#8])-[#6](-[#7])-[#6]-[#6](-[#8]-[#6]-2-[#6]-[#6](-[#8])(-[#6](-[#6])=[#8])-[#6]-[#6]:3:[#6]-2:[#6](-[#8]):[#6]-2:[#6](-[#6](-[#6]:4:[#6]:[#6]:[#6]:[#6](-[#8]-[#6]):[#6]:4-[#6]-2=[#8])=[#8]):[#6]:3-[#8])-[#8]-1
cN1CCN(c2ccc(OCC3COC(Cncnc)(c4c(Cl)cc(Cl)cc4)O3)cc2)CC1,1031,4,[#6]-[#7]-1-[#6]-[#6]-[#7](-[#6]:2:[#6]:[#6]:[#6](:[#6]:[#6]:2)-[#8]-[#6]-[#6]-2-[#6]-[#8]-[#6](-[#6]:3:[#6](:[#6]:[#6](:[#6]:[#6]:3)-[Cl])-[Cl])(-[#8]-2)-[#6]-[#7]:[#6]:[#7]:[#6])-[#6]-[#6]-1
C12SCC(COC=O)=C(C(O)=O)N1C(=O)C2NC(=O)C,1228,4,[#6]-1-2-[#16]-[#6]-[#6](=[#6](-[#6](=[#8])-[#8])-[#7]-1-[#6](-[#6]-2-[#7]-[#6](-[#6])=[#8])=[#8])-[#6]-[#8]-[#6]=[#8]
C(c1ccccc1)c1ccccn1,752,4,[#6](-[#6]:1:[#7]:[#6]:[#6]:[#6]:[#6]:1)-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
O=c1nc(N)ccn1CC,48,4,[#7]-[#6]:1:[#7]:[#6](:[#7](-[#6]-[#6]):[#6]:[#6]:1)=[#8]
C12CCC(C(=O)CO)C1(C)CC(O)C1(F)C2CCC2=CC(=O)C=CC12C,118,4,[#8]-[#6]-[#6](-[#6]-1-[#6]-[#6]-[#6]-2-[#6]-3-[#6]-[#6]-[#6]-4=[#6]-[#6](-[#6]=[#6]-[#6]-4(-[#6]-3(-[#6](-[#6]-[#6]-2-1-[#6])-[#8])-[F])-[#6])=[#8])=[#8]
N1CCN=C(c2ccccc2F)c2cc(Cl)ccc21,622,4,[#6]-[#6]-[#7]=[#6](-[#6]:1:[#6](-[#7]):[#6]:[#6]:[#6](:[#6]:1)-[Cl])-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[F]
O=C(N1CCN(c2nc3cc(OC)c(OC)cc3c(N)n2)CC1)C,538,4,[#6]-[#6](-[#7](-[#6]-[#6]-[#7]-[#6]:1:[#7]:[#6]:2:[#6]:[#6](:[#6](:[#6]:[#6]:2:[#6](:[#7]:1)-[#7])-[#8]-[#6])-[#8]-[#6])-[#6]-[#6])=[#8]
C(c1ccccc1)=C(c1ccccc1)c1ccc(OCC)cc1,892,4,[#6](=[#6](-[#6]:1:[#6]:[#6]:[#6](-[#8]-[#6]-[#6]):[#6]:[#6]:1)-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
c1ccc(C(=O)NC(CCC(O)=O)C(O)=O)cc1,561,4,[#6]:1:[#6]:[#6]:[#6](-[#6](-[#7]-[#6](-[#6](=[#8])-[#8])-[#6]-[#6]-[#6](=[#8])-[#8])=[#8]):[#6]:[#6]:1
O=c1nc(N)[nH]c2n(COCCO)cnc12,279,4,[#8]=[#6]:1:[#7]:[#6](-[#7]):[#7]:[#6]:2:[#7](-[#6]-[#8]-[#6]-[#6]-[#8]):[#6]:[#7]:[#6]:2:1
CC(C)C1(CC)C(=O)NC(=O)NC1=O,282,4,[#6]-[#6](-[#6]-1(-[#6](-[#7]-[#6](-[#7]-[#6]-1=[#8])=[#8])=[#8])-[#6]-[#6])-[#6]
C1CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,865,4,[#6]-1-[#6]-[#6]-[#7](-[#6]-[#6]-1)-[#6]-[#6]-[#6](-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)(-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]#[#7]
O=C1C=CC2(C)C(=C1)CCC1C2C(O)CC2(C)C(C=O)CCC12,113,4,[#8]=[#6]-1-[#6]=[#6]-[#6]-2(-[#6])-[#6](-[#6]-[#6]-[#6]-3-[#6]-2-[#6](-[#6]-[#6]-2(-[#6])-[#6](-[#6]-[#6]-[#6]-3-2)-[#6]=[#8])-[#8])=[#6]-1
Cn1c2c(n(C)cn2)c(=O)n(C)c1=O,289,4,[#6]-[#7]:1:[#6]:[#7]:[#6]:2:[#6]:1:[#6](:[#7](:[#6](:[#7]:2-[#6])=[#8])-[#6])=[#8]
C1CN(C)C2Cc3c[nH]c4cccc(c34)C2=C1,435,4,[#6]-1-2-[#6]-[#6]:3:[#6]:[#7]:[#6]:4:[#6]:[#6]:[#6]:[#6](-[#6]-1=[#6]-[#6]-[#6]-[#7]-2-[#6]):[#6]:3:4
CCCNc1ccnc2cc(Cl)ccc12,924,3,[#6]-[#6]-[#6]-[#7]-[#6]:1:[#6]:2:[#6]:[#6]:[#6](-[Cl]):[#6]:[#6]:2:[#7]:[#6]:[#6]:1
C(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,236,3,[#6]-[#6](-[#7]-[#6]-[#6](-[#8])-[#6]-[#8]-[#6]:1:[#6](-[#6](-[#6])=[#8]):[#6]:[#6](-[#7]-[#6]=[#8]):[#6]:[#6]:1)-[#6]
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1cccc([N+]([O-])=O)c1,961,3,[#6]-[#6]-[#8]-[#6](-[#6]-1=[#6](-[#7]-[#6](=[#6](-[#6](-[#8]-[#6])=[#8])-[#6]-1-[#6]:1:[#6]:[#6](-[#7](=[#8])-[#8]):[#6]:[#6]:[#6]:1)-[#6])-[#6])=[#8]
C1(C(O)c2ccnc3ccc(OC)cc23)CC2CCN1CC2C,956,3,[#6]-1-2-[#6]-[#6]-[#7](-[#6](-[#6](-[#6]:3:[#6]:4:[#6]:[#6](:[#6]:[#6]:[#6]:4:[#7]:[#6]:[#6]:3)-[#8]-[#6])-[#8])-[#6]-2)-[#6]-[#6]-1-[#6]
