MCS,class,num,smarts
c1ccccc1,128,67,[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
c1ccccc1,130,64,[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
CC12CCC3C(CCcc3)C1CCC2,22,56,[#6](-[#6]-[#6]-[#6]-[#6])-[#6]-[#6]-[#6]-[#6](-[#6]-[#6]-[#6]-[#6])-[#6]
O=C(NCC)CNC(=O)C,187,56,[#6](-[#6])-[#7]-[#6](-[#6]-[#7]-[#6](-[#6])=[#8])=[#8]
c1ccccc1,113,42,[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
c1ccccc1,127,33,[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
S(=O)(=O)c1ccccc1,161,29,[#8]=[#16](-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1)=[#8]
c1cc(-c)ccc1,125,25,[#6]:1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1
c1c(c)c(=O)c(C(=O)O)cn1,193,24,[#7](:[#6]:[#6](:[#6]):[#6]=[#8]):[#6]:[#6]-[#6](=[#8])-[#8]
Cc1ccccc1,129,24,[#6]-[#6](:[#6]):[#6]:[#6]:[#6]:[#6]
c1ccccc1,119,24,[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
Cc1ccccc1,111,22,[#6]-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
c1c(O)c2c(cc1)CC(CC)CC2,189,21,[#6](-[#6])-[#6](-[#6])-[#6]-[#6]:1:[#6](-[#6]):[#6](-[#8]):[#6]:[#6]:[#6]:1
ccOCC(O)CNCC,50,21,[#6]-[#6]-[#7]-[#6]-[#6](-[#6]-[#8]-[#6]:[#6])-[#8]
Cc1ccccc1,132,20,[#6]-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
c1ccccc1,149,20,[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
C(=O)C1CCC2C3CCC4=CC(=O)C=CC4(C)C3CCC12C,23,20,[#8]=[#6]-[#6]-1-[#6]-[#6]-[#6]-2-[#6]-3-[#6]-[#6]-[#6](-[#6](-[#6]-3-[#6]-[#6]-[#6]-2-1-[#6])(-[#6])-[#6])=[#6]-[#6](-[#6])=[#8]
c1ccccc1,123,19,[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
c1c(OC)cccc1,102,18,[#6]-[#8]-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
Oc1c2c3c(cc1)CN(C)CCC3(C)C(CC)O2,84,17,[#8]-[#6]:1:[#6]:2-[#8]-[#6](-[#6](-[#6]:2:[#6](:[#6]:[#6]:1)-[#6])(-[#6]-[#6]-[#7]-[#6])-[#6])-[#6]-[#6]
c1ccccc1,133,17,[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
Cc1ccc(O)cc1,109,17,[#6]-[#6]:1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#8]
c1ccccc1,110,17,[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
Cc1ccccc1,142,16,[#6]:1:[#6]:[#6]:[#6]:[#6](:[#6]:1)-[#6]
C1C(OC2C(O)C(O)CCC2)OC(C)C1C,7,16,[#8]-[#6]-[#6](-[#6](-[#8]-[#6](-[#6]-[#6]-[#6])-[#8]-[#6]-[#6])-[#6]-[#6]-[#6])-[#8]
C(=O)NC(CC)C,184,16,[#6](-[#7]-[#6](-[#6])-[#6]-[#6])=[#8]
CC1CCCCO1,183,16,[#6]-[#6](-[#6]-[#6]-[#6]-[#6])-[#8]
ccncc,68,15,[#6]:[#6]:[#7]:[#6]:[#6]
CCCN(CC)C,78,15,[#6]-[#6]-[#6]-[#7](-[#6]-[#6])-[#6]
N1CCN(Cc)CC1,29,15,[#7]-1-[#6]-[#6]-[#7](-[#6]-[#6])-[#6]-[#6]-1
CN(CC)C,126,15,[#6]-[#7](-[#6]-[#6])-[#6]
Cc1ccccc1,106,14,[#6]-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
c1cc(c)c(nc)cc1,150,14,[#6]:1:[#6]:[#6](:[#6]):[#6](:[#7]:[#6]):[#6]:[#6]:1
c1ccc(C)cc1,91,14,[#6]-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
c1c(C)cccc1,74,13,[#6]:[#6](:[#6]:[#6]:[#6]:[#6])-[#6]
C(=O)NCC(=O)NC(C)C(=O)NCC(=O)NC(CC)C(NCC)=O,178,13,[#6]-[#6]-[#6](-[#7]-[#6](=[#8])-[#6]-[#7]-[#6](=[#8])-[#6](-[#6])-[#7]-[#6](=[#8])-[#6]-[#7]-[#6]=[#8])-[#6](-[#7]-[#6]-[#6])=[#8]
c1ccccc1-c,89,13,[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]
O=C(O)C,164,13,[#6]-[#6](-[#8])=[#8]
c1ccccc1,70,12,[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
