MCS,class,num,smarts
C(C)CCC,57,230,[#6](-[#6])-[#6]-[#6]-[#6]
CCC(C1CCCCC1)CC,207,82,[#6]-[#6]-[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]
C(C1CCCCC1)C(CC)CC,181,76,[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6](-[#6]-[#6])-[#6]-[#6]
C1CC2CCC3C(CCC4CCCCC34)C2C1,154,58,[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-3-[#6](-[#6]-2-[#6]-1)-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-3-1
C1CC2CCCCC2C1,210,44,[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2-[#6]-1
C(CC1CCCCC1)C(CC)CC,397,44,[#6](-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C1CCC2CCCCC2C1,211,30,[#6](-[#6]-[#6]-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]-[#6]
C1CCC(C2CCCCC3CCCCC23)CC1,226,29,[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6](-[#6](-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]
C1CCC2CC3CCCCC3CCC2C1,262,24,[#6]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-3-[#6]-[#6]-[#6]-[#6]-[#6]-3-[#6]-[#6]-[#6]-2-[#6]-1
C1CCC2CC3CCCCC3CC2C1,249,21,[#6]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-3-[#6]-[#6]-[#6]-[#6]-[#6]-3-[#6]-[#6]-2-[#6]-1
C(CC1CC2CCCCC12)CC1CCCC1,407,16,[#6](-[#6]-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-1-2
